variant_id,object_id,stored,success,attempt,usable_good_frac,success_rate,slots,min_slot_count,max_slot_count
1793,24,36,139,153,0.2589928057553957,0.9084967320261438,3,7,18
519,17,36,138,141,0.2608695652173913,0.9787234042553191,3,3,27
593,0,36,137,145,0.26277372262773724,0.9448275862068966,3,3,18
505,25,36,136,140,0.2647058823529412,0.9714285714285714,3,3,25
789,5,36,136,148,0.2647058823529412,0.918918918918919,3,6,23
1252,18,36,134,136,0.26865671641791045,0.9852941176470589,3,5,16
376,14,36,131,136,0.2748091603053435,0.9632352941176471,3,7,21
854,18,36,131,134,0.2748091603053435,0.9776119402985075,3,5,17
1474,14,36,128,134,0.28125,0.9552238805970149,3,0,23
584,22,36,125,129,0.288,0.9689922480620154,3,1,32
827,25,36,125,131,0.288,0.9541984732824428,3,2,30
627,9,36,124,132,0.2903225806451613,0.9393939393939394,3,3,27
1261,14,36,123,129,0.2926829268292683,0.9534883720930233,3,2,19
579,5,36,122,129,0.29508196721311475,0.9457364341085271,3,7,16
1414,1,36,122,130,0.29508196721311475,0.9384615384615385,3,4,26
567,10,36,117,134,0.3076923076923077,0.8731343283582089,3,1,23
797,24,36,115,122,0.3130434782608696,0.9426229508196722,3,0,32
1070,13,36,108,173,0.3333333333333333,0.6242774566473989,3,7,21
1253,11,36,108,113,0.3333333333333333,0.9557522123893806,3,7,16
1331,2,36,108,130,0.3333333333333333,0.8307692307692308,3,8,15
1332,19,36,108,121,0.3333333333333333,0.8925619834710744,3,0,28
1906,26,36,92,109,0.391304347826087,0.8440366972477065,3,5,21
1878,7,37,163,171,0.22699386503067484,0.9532163742690059,3,5,24
1156,10,37,145,159,0.25517241379310346,0.9119496855345912,3,7,23
383,23,37,142,146,0.2605633802816901,0.9726027397260274,3,0,26
2035,11,37,142,154,0.2605633802816901,0.922077922077922,3,5,26
