variant_id,object_id,z_shift,table_x,table_y,object_mass,attempts,successes,failures,success_rate
1864,17,0.63715660572052,0.6620180606842041,1.1592353582382202,0.6255473494529724,37,4,33,0.10810810810810811
406,25,0.4963795840740204,0.534278929233551,0.7652806639671326,0.5565013289451599,37,4,33,0.10810810810810811
1863,27,0.4035646319389343,0.5857154130935669,1.030098795890808,0.380760133266449,37,4,33,0.10810810810810811
481,25,0.4914766550064087,0.5434736013412476,0.9189740419387817,0.2587292492389679,37,4,33,0.10810810810810811
1571,25,0.4805845022201538,0.6286090016365051,0.6081197261810303,0.431225061416626,37,4,33,0.10810810810810811
22,25,0.5664768815040588,0.5975950956344604,0.6553056240081787,0.4344223737716675,46,5,41,0.10869565217391304
721,26,0.7244957685470581,0.5312132835388184,1.190675139427185,0.6561150550842285,46,5,41,0.10869565217391304
1633,6,0.6191198229789734,0.5410553812980652,0.7901022434234619,0.7923730611801147,46,5,41,0.10869565217391304
162,25,0.6640338897705078,0.6715556979179382,0.6304141879081726,0.34857314825057983,55,6,49,0.10909090909090909
1846,2,0.43392080068588257,0.569681704044342,1.1673673391342163,0.4476604163646698,45,5,40,0.1111111111111111
