variant_id,mixed_success_correct,correct_success,mixed_failure_correct,correct_failure
746,1,4,42,39
747,16,21,12,12
748,21,19,14,13
749,2,3,35,39
750,5,5,33,33
751,15,15,11,9
752,23,15,32,34
753,8,11,27,27
754,15,15,16,16
755,18,13,24,21
756,3,4,42,29
757,4,3,37,35
758,12,17,20,21
759,2,5,37,39
760,7,15,18,22
761,7,11,32,36
762,10,9,37,26
763,6,5,38,34
764,24,12,10,9
765,24,27,6,4
766,4,7,24,31
767,26,19,18,23
768,5,8,31,32
769,3,4,37,45
770,26,24,7,6
771,22,19,15,12
772,10,4,27,29
773,4,2,34,43
774,14,21,17,19
775,6,11,26,24
776,1,6,29,40
777,23,24,11,8
778,9,3,37,44
779,9,7,37,28
780,16,20,8,7
781,19,19,20,13
782,24,15,13,21
783,5,9,32,35
784,21,16,18,20
785,6,9,38,30
786,14,18,33,31
787,6,6,31,32
788,9,8,27,25
789,7,9,33,43
790,35,27,6,0
791,22,18,18,17
792,13,17,24,28
793,7,5,37,45
794,9,9,28,25
795,10,6,29,27
796,9,7,33,34
797,22,16,12,11
798,21,15,26,29
799,13,13,30,31
800,25,25,6,6
801,30,22,9,8
802,23,19,6,4
803,11,8,30,36
804,26,18,13,13
805,20,26,18,8
806,32,22,7,13
807,7,8,25,31
808,7,4,41,39
809,4,9,31,30
810,22,20,10,10
811,25,15,9,10
812,8,9,44,41
813,7,9,31,31
814,18,14,17,7
815,21,14,8,9
816,24,20,15,8
817,30,23,6,7
818,31,28,7,10
819,28,25,4,4
820,11,17,21,28
821,21,18,6,6
822,6,2,34,33
823,12,14,21,20
824,12,9,24,21
825,8,16,19,31
826,19,17,31,23
827,5,8,34,33
828,26,18,15,16
829,26,18,21,18
830,13,7,21,26
831,23,11,17,11
832,6,10,33,28
833,3,5,41,46
834,20,20,10,7
835,17,18,21,26
836,16,15,22,18
837,13,11,32,25
838,3,6,29,39
839,2,3,45,47
840,24,26,13,7
841,11,13,20,20
842,19,15,27,21
843,14,18,25,16
844,31,26,4,4
845,3,5,43,36
846,21,19,8,9
847,20,15,10,13
848,16,21,16,17
849,4,4,46,39
850,8,6,28,33
851,27,26,8,5
852,29,22,2,4
853,27,29,5,5
854,20,15,15,12
855,13,13,31,29
856,4,6,28,33
857,8,13,28,29
858,0,4,44,37
859,24,14,20,22
860,20,19,20,17
861,22,16,18,12
862,13,19,26,22
863,15,13,22,24
864,11,15,35,31
865,6,5,35,45
866,19,16,11,14
867,8,11,34,47
868,10,11,31,28
869,24,24,6,4
870,39,27,3,5
871,20,24,7,9
872,8,7,25,42
873,11,8,18,20
874,20,23,19,21
875,13,19,28,13
876,6,6,43,40
877,4,4,42,46
878,21,21,17,10
879,2,2,42,51
880,32,23,5,6
881,10,9,33,28
882,23,21,9,6
883,3,2,30,47
884,3,5,51,47
885,35,26,3,2
886,22,22,7,3
887,4,4,26,38
888,8,16,32,28
889,2,3,36,45
890,14,15,22,9
891,19,16,8,8
892,5,3,34,48
893,7,4,35,40
894,23,26,10,3
895,17,24,15,13
896,10,18,23,18
897,16,17,27,22
898,7,13,29,45
899,25,23,2,8
900,19,24,13,11
901,13,16,30,24
902,19,27,7,2
903,21,25,7,2
904,22,19,13,12
905,27,23,11,4
906,23,16,9,10
907,18,19,13,10
908,1,6,38,36
909,23,21,7,9
910,9,10,32,36
911,19,23,15,15
912,19,16,14,7
913,15,5,33,27
914,9,10,28,34
915,15,14,20,34
916,24,16,2,12
917,8,16,28,24
918,17,21,21,17
919,18,21,14,9
920,20,17,18,18
921,21,15,18,11
922,26,18,10,4
923,8,8,44,48
924,23,15,8,12
925,5,6,42,36
926,23,23,8,4
927,21,17,17,23
928,12,8,11,22
929,16,18,13,16
930,6,9,36,24
931,21,28,7,4
932,12,13,33,31
933,14,16,14,15
934,10,6,21,28
935,25,17,7,17
936,19,10,17,21
937,27,26,7,7
938,11,12,24,27
939,15,17,9,12
940,5,9,25,39
941,17,16,14,16
942,6,7,34,36
943,19,17,15,10
944,10,11,31,28
945,9,6,24,26
946,4,11,26,26
947,20,18,16,23
948,21,20,13,11
949,2,5,33,41
950,14,20,17,10
951,8,3,35,32
952,14,20,10,7
953,4,3,35,50
954,9,12,36,33
955,8,8,36,29
956,20,15,25,16
957,8,5,38,47
958,20,18,15,16
959,7,13,34,32
960,27,23,5,6
961,27,25,17,8
962,29,28,9,11
963,3,5,36,30
964,11,14,19,19
965,7,5,34,37
966,8,23,16,8
967,23,19,17,15
968,12,13,14,12
969,6,12,34,41
970,12,12,29,21
971,28,19,6,5
972,27,24,6,8
973,19,16,14,17
974,8,6,34,32
975,7,8,26,23
976,16,18,24,28
977,20,25,14,12
978,10,10,29,42
979,25,19,14,21
980,22,26,8,5
981,2,2,39,40
982,15,8,23,22
983,6,2,28,56
984,19,15,23,31
985,21,18,11,9
986,20,16,11,13
987,18,19,11,11
988,13,11,32,22
989,20,20,19,15
990,22,14,12,7
991,6,5,24,34
992,11,13,17,17
993,20,26,10,10
994,5,8,39,41
995,14,16,25,22
996,25,18,24,29
997,40,28,1,4
998,27,20,10,6
999,17,19,11,8
1000,7,9,32,35
1001,23,16,7,6
1002,2,5,44,43
1003,8,13,24,29
1004,32,23,6,10
1005,12,9,27,31
1006,15,14,23,21
1007,6,7,34,33
1008,11,18,25,21
1009,22,25,8,8
1010,13,16,26,33
1011,4,7,31,41
1012,21,21,9,12
1013,8,7,24,35
1014,27,28,5,4
1015,20,18,17,20
1016,12,10,24,28
1017,29,18,7,4
1018,19,19,23,18
1019,28,16,10,16
1020,4,7,38,42
1021,24,23,11,4
1022,21,17,9,10
1023,8,7,36,24
1024,17,18,25,24
1025,1,2,33,34
1026,3,6,30,33
1027,32,26,6,7
1028,11,10,22,24
1029,27,22,6,11
1030,27,27,6,3
1031,13,16,18,17
1032,1,5,43,41
1033,18,18,9,12
1034,18,16,15,12
1035,15,18,25,16
1036,7,4,30,41
1037,17,24,9,3
1038,11,17,24,29
1039,21,13,14,14
1040,22,25,10,3
1041,20,22,5,3
1042,22,20,14,19
1043,4,2,34,34
1044,2,1,39,41
1045,22,25,9,6
1046,6,6,31,21
1047,25,23,1,5
1048,21,20,16,9
1049,23,26,9,10
1050,11,10,24,28
1051,2,5,36,41
1052,1,4,31,25
1053,28,24,6,6
1054,7,8,25,51
1055,7,7,31,36
1056,8,6,26,33
1057,19,18,11,7
1058,6,11,31,39
1059,10,19,15,18
1060,11,12,22,22
1061,14,13,17,22
1062,6,11,22,12
1063,9,14,26,30
1064,2,4,34,41
1065,7,10,28,38
1066,11,10,31,29
1067,24,13,10,8
1068,26,26,18,12
1069,8,5,34,36
1070,4,4,33,46
1071,20,24,9,10
1072,19,18,22,21
1073,10,16,22,27
1074,20,17,7,7
1075,5,6,33,36
1076,8,8,32,33
1077,3,6,40,40
1078,14,17,22,22
1079,5,4,46,37
1080,16,15,17,5
1081,10,19,23,26
1082,23,26,13,7
1083,5,9,38,39
1084,15,22,7,5
1085,26,22,7,5
1086,27,15,20,29
1087,20,18,15,12
1088,27,24,11,9
1089,25,28,10,6
1090,22,21,21,16
1091,17,19,13,11
1092,8,7,23,39
1093,4,8,34,33
1094,12,13,23,30
1095,9,16,28,26
1096,12,15,29,37
1097,9,7,26,25
1098,19,18,18,12
1099,6,1,32,40
1100,21,14,13,10
1101,14,16,23,15
1102,31,26,3,1
1103,10,10,19,29
1104,13,16,27,23
1105,9,10,26,30
1106,12,16,10,9
1107,13,12,24,23
1108,26,23,9,15
1109,18,27,7,2
1110,23,19,9,7
1111,29,18,9,15
1112,8,10,23,26
1113,18,13,21,19
1114,19,20,13,10
1115,17,15,14,12
1116,17,16,32,21
1117,30,19,4,4
1118,22,24,7,3
1119,5,7,35,41
1120,14,7,22,31
1121,26,21,8,7
1122,21,24,4,4
1123,9,14,17,38
1124,23,16,10,17
1125,6,9,33,28
1126,21,20,5,6
1127,21,22,22,16
1128,28,25,9,4
1129,12,17,18,13
1130,17,17,11,9
1131,11,14,7,9
1132,28,23,7,6
1133,6,7,33,32
1134,10,4,30,29
1135,32,26,6,6
1136,21,16,17,11
1137,1,3,40,40
1138,24,20,7,8
1139,7,6,24,25
1140,24,26,12,9
1141,5,3,33,40
1142,10,11,34,40
1143,22,24,13,19
1144,8,8,39,44
1145,29,26,8,6
1146,9,6,35,31
1147,7,3,32,34
1148,21,15,15,10
1149,23,25,8,6
1150,37,22,10,11
1151,25,29,13,9
1152,19,20,20,12
1153,8,10,23,32
1154,20,17,5,9
1155,5,8,34,26
1156,21,20,14,10
1157,18,18,18,17
1158,24,26,17,4
1159,20,19,12,7
1160,11,9,21,27
1161,7,8,35,36
1162,17,13,9,16
1163,15,13,25,25
1164,30,23,6,6
1165,2,5,31,48
1166,27,14,15,9
1167,10,12,37,30
1168,8,7,32,39
1169,21,17,28,28
1170,4,6,40,29
1171,9,3,36,37
1172,16,10,26,17
1173,22,28,9,9
1174,26,27,8,8
1175,19,19,31,22
1176,5,12,31,29
1177,28,25,13,8
1178,13,13,20,21
1179,5,3,45,48
1180,20,18,20,15
1181,19,19,25,14
1182,14,12,20,17
1183,6,7,30,30
1184,10,8,29,36
1185,24,22,11,7
1186,12,14,21,33
1187,24,18,16,19
1188,22,18,9,14
1189,13,13,23,22
1190,19,17,12,12
1191,18,18,30,32
1192,15,11,19,29
1193,29,21,11,7
1194,16,17,20,28
1195,16,15,26,23
1196,7,6,28,39
1197,18,19,17,24
1198,7,7,30,22
1199,3,8,38,34
1200,15,15,13,15
1201,14,14,20,17
1202,10,13,27,29
1203,28,23,7,9
1204,11,9,33,28
1205,4,5,45,28
1206,10,9,36,48
1207,14,19,20,23
1208,31,25,9,8
1209,24,19,8,7
1210,24,19,14,7
1211,3,2,36,42
1212,26,24,7,11
1213,21,23,7,8
1214,16,12,15,19
1215,5,5,31,20
1216,15,14,16,18
1217,9,4,29,35
1218,23,22,6,8
1219,14,17,14,9
1220,23,23,17,11
1221,20,15,7,9
1222,24,25,6,7
1223,12,14,25,28
1224,9,10,25,22
1225,1,9,43,38
1226,8,20,26,20
1227,6,7,35,33
1228,26,19,16,17
1229,16,15,27,17
1230,10,8,28,36
1231,33,25,8,5
1232,12,10,18,26
1233,8,10,40,32
1234,16,19,18,8
1235,26,21,6,10
1236,19,20,7,17
1237,12,13,17,18
1238,33,28,9,7
1239,11,11,28,25
1240,15,19,13,8
1241,21,14,23,17
1242,25,23,13,8
1243,32,25,9,6
1244,13,9,29,23
1245,8,4,38,52
1246,24,22,11,9
1247,17,16,7,7
1248,23,19,15,23
1249,17,17,27,26
1250,2,5,41,42
1251,16,10,25,17
1252,24,22,11,9
1253,13,14,32,14
1254,13,16,19,7
1255,19,9,14,12
1256,23,21,9,5
1257,11,12,22,25
1258,16,18,14,15
1259,17,16,21,22
1260,5,2,39,29
1261,23,25,12,9
1262,23,29,9,10
1263,26,26,13,8
1264,18,13,14,12
1265,31,29,8,2
1266,21,16,20,27
1267,9,5,36,45
1268,18,21,15,9
1269,6,7,26,41
1270,15,18,23,28
1271,11,13,29,27
1272,10,6,21,23
1273,10,10,28,40
1274,14,15,30,18
1275,28,20,16,25
1276,12,14,18,20
1277,11,16,17,14
1278,21,25,10,5
1279,19,13,27,26
1280,2,2,36,50
1281,19,17,27,20
1282,8,21,23,25
1283,22,25,18,15
1284,12,12,27,21
1285,14,12,26,29
1286,7,4,21,32
1287,20,19,8,9
1288,15,19,37,28
1289,22,24,7,11
1290,11,11,30,24
1291,16,13,16,21
1292,12,16,16,11
1293,7,9,19,43
1294,2,4,35,36
1295,15,13,24,24
1296,7,3,33,57
1297,7,9,36,35
1298,6,7,34,30
1299,2,8,39,44
1300,5,4,33,41
1301,22,16,13,13
1302,26,25,15,9
1303,5,8,26,40
1304,32,24,7,8
1305,22,15,24,27
1306,11,15,25,17
1307,13,23,12,6
1308,26,20,7,11
1309,21,28,9,5
1310,20,22,17,13
1311,11,16,39,29
1312,8,10,26,33
1313,14,19,22,24
1314,7,2,36,41
1315,17,15,17,13
1316,5,4,42,44
1317,5,9,40,38
1318,23,13,4,9
1319,26,13,21,12
1320,15,13,16,28
1321,7,14,24,18
1322,20,19,8,6
1323,16,13,7,5
1324,37,27,10,3
1325,12,19,32,18
1326,18,10,21,28
1327,9,10,28,24
1328,16,23,10,17
1329,18,13,15,13
1330,14,13,18,16
1331,10,12,34,29
1332,26,21,7,15
1333,0,3,46,50
1334,23,12,9,22
1335,5,9,46,39
1336,11,15,23,17
1337,3,5,43,44
1338,24,17,6,6
1339,11,9,28,26
1340,27,29,6,7
1341,11,9,22,46
1342,9,7,31,32
1343,8,10,34,34
1344,4,7,27,36
1345,9,9,38,39
1346,21,18,12,8
