category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts,object_name,usable_success_fraction_est
afar,0,733,12,106,104,0,48757,48136,621,599,4,4,0.4654405117034912,0.5788153409957886,1.0375887155532837,0.050000000745058,0.7684028148651123,32,20,False,0.981132075471698,0.1132075471698113,459.97169811320754,462.84615384615387,,4063.0833333333335,468.8173076923077,0.2461185060606682,2.133027052525791,3,7,0,3.0,4,Tabasco_sauce_2,0.11538461538461539
afar,0,1184,12,104,93,3,48767,43572,5195,599,4,2,0.6340508460998535,0.5376307964324951,0.6369774341583252,0.050000000745058,0.5595172643661499,32,20,False,0.8942307692307693,0.1153846153846153,468.9134615384616,468.5161290322581,1731.6666666666667,4063.9166666666665,524.3763440860215,0.2460680378124551,1.9070272930465275,3,9,0,3.0,4,Dixie_cup_3,0.12903225806451613
afar,0,1260,13,111,110,0,48354,47755,599,599,4,4,0.6573865413665771,0.5269700288772583,0.6996942758560181,0.050000000745058,0.2475802451372146,32,19,False,0.990990990990991,0.1171171171171171,435.6216216216216,434.1363636363636,,3719.538461538461,439.58181818181816,0.2688505604500145,2.2748893576539686,3,7,0,3.25,4,Tabasco_sauce_2,0.11818181818181818
afar,0,1697,13,99,82,8,48744,40967,7777,599,4,31,0.4679694473743438,0.6265236735343933,0.601905345916748,0.050000000745058,0.6886065006256104,32,19,False,0.8282828282828283,0.1313131313131313,492.3636363636364,499.5975609756098,972.125,3749.538461538461,594.439024390244,0.2666994912194321,1.6822583292302642,2,11,0,3.25,4,cider_0,0.15853658536585366
afar,0,1736,14,116,115,0,48332,48314,18,550,4,22,0.6293740272521973,0.5114487409591675,1.1375391483306885,0.050000000745058,0.7919716835021973,32,18,False,0.9913793103448276,0.1206896551724138,416.6551724137931,420.1217391304348,,3452.285714285714,420.2782608695652,0.2896631631217413,2.379375982785732,4,9,1,3.5,4,candy_cane_1,0.12173913043478261
afar,0,357,14,113,105,2,49243,46153,3090,599,4,25,0.6583411693572998,0.5945822596549988,0.7201746106147766,0.050000000745058,0.6022287607192993,32,18,False,0.9292035398230089,0.1238938053097345,435.7787610619469,439.5523809523809,1545.0,3517.3571428571427,468.9809523809524,0.2843043681335418,2.132282761001564,3,6,0,3.5,4,canister_2,0.13333333333333333
afar,0,730,14,107,105,0,49289,48091,1198,599,4,26,0.7882908582687378,0.6440447568893433,0.660477340221405,0.050000000745058,0.673042356967926,32,18,False,0.9813084112149532,0.1308411214953271,460.6448598130841,458.0095238095238,,3520.6428571428573,469.4190476190476,0.2840390350788208,2.1302927630911563,4,6,1,3.5,4,canister_3,0.13333333333333333
afar,0,1116,14,104,104,0,48759,48759,0,576,4,9,0.4633555114269256,0.6299493908882141,0.8130795955657959,0.050000000745058,0.6542348265647888,32,18,False,1.0,0.1346153846153846,468.83653846153845,468.83653846153845,,3482.785714285714,468.83653846153845,0.2871264792140938,2.1329395598761254,3,8,0,3.5,4,bear_0,0.1346153846153846
afar,0,42,14,104,101,1,48682,46885,1797,599,4,20,0.7499849796295166,0.6284818649291992,0.915029227733612,0.050000000745058,0.6701646447181702,32,18,False,0.971153846153846,0.1346153846153846,468.09615384615387,464.2079207920792,1797.0,3477.285714285714,482.0,0.2875806252824452,2.074688796680498,4,5,2,3.5,4,can_1,0.13861386138613863
afar,0,8,14,106,98,2,49315,45786,3529,599,4,21,0.627803385257721,0.523331880569458,1.1593985557556152,0.050000000745058,0.6740430593490601,32,18,False,0.9245283018867924,0.1320754716981132,465.2358490566038,467.2040816326531,1764.5,3522.5,503.2142857142857,0.2838892831795599,1.98722498225692,4,7,1,3.5,4,candle_holder_4,0.14285714285714285
